departamento,ingreso_2022,ingreso_2023,ingreso_2024,informalidad_2022,informalidad_2023,informalidad_2024,variacion_ingreso,variacion_informalidad
Urbana,1668.5895048673053,1833.2269262587874,1927.6221649636523,68.4822946122461,65.51892553379415,65.39481,15.52,-3.09
Rural,815.8613260775874,880.0228822189698,915.0767647603709,95.41507466308704,94.14498629216827,94.49864,12.16,-0.92
Amazonas,1125.3049473541464,1240.3594300702307,1240.2749586375883,86.6622738536008,85.7682117494264,86.13379,10.22,-0.53
Áncash,1286.5123838883626,1427.4513637492744,1514.7391070399158,80.92809634240456,78.20241673625672,78.32679,17.74,-2.6
Apurímac,1201.118296617459,1283.9541295320269,1286.3208114223585,87.22319237005595,86.68740708842203,87.47634,7.09,0.25
Arequipa,1923.898739300646,1994.9164862299483,2109.9859867115815,66.98255499741468,63.5690301175117,62.24733,9.67,-4.74
Ayacucho,1222.042577199852,1228.5464170808484,1329.7585616436936,85.93218397699599,86.06516049200607,85.51521,8.81,-0.42
Cajamarca,988.1291105500196,1148.8421246913967,1199.9563221619974,89.54026214851291,86.64822900974323,87.01409,21.44,-2.53
Cusco,1375.1531549121873,1416.0456391007276,1617.8899805082967,81.0211006426577,80.16893364729137,79.07869,17.65,-1.94
Huancavelica,950.2980078517537,1096.9933039878301,1297.738249101496,89.34959958777652,86.41088836695154,85.34881,36.56,-4.0
Huánuco,1142.7232567967412,1399.2774846210066,1360.9046783442336,85.7122950895152,83.15461974934297,82.93779,19.09,-2.77
Ica,1801.2087560887346,1866.625224576115,1886.2142209852177,61.082534639870154,59.18647800874615,59.01074,4.72,-2.07
Junín,1333.0399626930293,1331.0593637126485,1364.4162893261478,80.20468346647188,78.65588778978028,78.99968,2.35,-1.21
La Libertad,1468.9749256317655,1564.403804023445,1625.7685439170943,73.80860685396023,72.84631959773874,73.90138,10.67,0.09
Lambayeque,1417.1561258182508,1476.7387407286828,1398.392171365793,74.89495343079474,72.78235909301868,74.77362,-1.32,-0.12
Lima Metrop./Prov. Const. Callao 1/,1885.217359392101,2141.132964559012,2268.8751196764715,60.56957308887163,56.70625277121475,56.89824,20.35,-3.67
Región Lima 2/,1406.4579295000412,1528.0080519472467,1601.2458179999053,74.7681091367676,74.518190860565,73.36436,13.85,-1.4
Loreto,1292.9031622890584,1427.1484940836826,1435.6235293827713,83.93596650053586,80.32720432931447,80.45022,11.04,-3.49
Madre de Dios,1821.034890730072,1783.9045789052768,1835.4251804188268,77.03968261197433,76.37250214685281,76.33718,0.79,-0.7
Moquegua,1780.787269902893,1829.6693179836275,2121.0741817790504,65.45682974513333,62.9977045525723,59.38914,19.11,-6.07
Pasco,1269.75062685364,1351.284828058103,1408.144895777116,82.59769702536194,81.0988597453157,79.78062,10.9,-2.82
Piura,1332.1347103387377,1386.4372499083524,1388.6341734914495,79.24496289472636,75.51343631386646,76.71023,4.24,-2.53
Puno,930.640614485305,999.5075579488965,1083.400176324761,89.36231765997518,89.3412144725831,87.67926,16.41,-1.68
San Martín,1260.5278636574187,1370.4624200498129,1433.8349299174477,86.07750258183076,82.20830266706383,83.67434,13.75,-2.4
Tacna,1453.1555026379133,1555.3717504682686,1700.6333132966415,75.45577910198168,74.5111193623412,71.58243,17.03,-3.87
Tumbes,1349.739161563118,1466.911368377306,1580.14848252006,77.44174275470318,76.78942939156465,77.40779,17.07,-0.03
Ucayali,1462.8021028625585,1449.2148556340155,1492.2129826612365,82.07434948749838,79.78682167059277,79.41327,2.01,-2.66
