departamento,informalidad_2022,informalidad_2023,informalidad_2024
Urbana,68.4822946122461,65.51892553379415,65.39481
Rural,95.41507466308704,94.14498629216827,94.49864
Amazonas,86.6622738536008,85.7682117494264,86.13379
Áncash,80.92809634240456,78.20241673625672,78.32679
Apurímac,87.22319237005595,86.68740708842203,87.47634
Arequipa,66.98255499741468,63.5690301175117,62.24733
Ayacucho,85.93218397699599,86.06516049200607,85.51521
Cajamarca,89.54026214851291,86.64822900974323,87.01409
Cusco,81.0211006426577,80.16893364729137,79.07869
Huancavelica,89.34959958777652,86.41088836695154,85.34881
Huánuco,85.7122950895152,83.15461974934297,82.93779
Ica,61.082534639870154,59.18647800874615,59.01074
Junín,80.20468346647188,78.65588778978028,78.99968
La Libertad,73.80860685396023,72.84631959773874,73.90138
Lambayeque,74.89495343079474,72.78235909301868,74.77362
Lima Metrop./Prov. Const. Callao 1/,60.56957308887163,56.70625277121475,56.89824
Región Lima 2/,74.7681091367676,74.518190860565,73.36436
Loreto,83.93596650053586,80.32720432931447,80.45022
Madre de Dios,77.03968261197433,76.37250214685281,76.33718
Moquegua,65.45682974513333,62.9977045525723,59.38914
Pasco,82.59769702536194,81.0988597453157,79.78062
Piura,79.24496289472636,75.51343631386646,76.71023
Puno,89.36231765997518,89.3412144725831,87.67926
San Martín,86.07750258183076,82.20830266706383,83.67434
Tacna,75.45577910198168,74.5111193623412,71.58243
Tumbes,77.44174275470318,76.78942939156465,77.40779
Ucayali,82.07434948749838,79.78682167059277,79.41327
