departamento,ingreso_2022,ingreso_2023,ingreso_2024
Urbana,1668.5895048673053,1833.2269262587874,1927.6221649636523
Rural,815.8613260775874,880.0228822189698,915.0767647603709
Amazonas,1125.3049473541464,1240.3594300702307,1240.2749586375883
Áncash,1286.5123838883626,1427.4513637492744,1514.7391070399158
Apurímac,1201.118296617459,1283.9541295320269,1286.3208114223585
Arequipa,1923.898739300646,1994.9164862299483,2109.9859867115815
Ayacucho,1222.042577199852,1228.5464170808484,1329.7585616436936
Cajamarca,988.1291105500196,1148.8421246913967,1199.9563221619974
Cusco,1375.1531549121873,1416.0456391007276,1617.8899805082967
Huancavelica,950.2980078517537,1096.9933039878301,1297.738249101496
Huánuco,1142.7232567967412,1399.2774846210066,1360.9046783442336
Ica,1801.2087560887346,1866.625224576115,1886.2142209852177
Junín,1333.0399626930293,1331.0593637126485,1364.4162893261478
La Libertad,1468.9749256317655,1564.403804023445,1625.7685439170943
Lambayeque,1417.1561258182508,1476.7387407286828,1398.392171365793
Lima Metrop./Prov. Const. Callao 1/,1885.217359392101,2141.132964559012,2268.8751196764715
Región Lima 2/,1406.4579295000412,1528.0080519472467,1601.2458179999053
Loreto,1292.9031622890584,1427.1484940836826,1435.6235293827713
Madre de Dios,1821.034890730072,1783.9045789052768,1835.4251804188268
Moquegua,1780.787269902893,1829.6693179836275,2121.0741817790504
Pasco,1269.75062685364,1351.284828058103,1408.144895777116
Piura,1332.1347103387377,1386.4372499083524,1388.6341734914495
Puno,930.640614485305,999.5075579488965,1083.400176324761
San Martín,1260.5278636574187,1370.4624200498129,1433.8349299174477
Tacna,1453.1555026379133,1555.3717504682686,1700.6333132966415
Tumbes,1349.739161563118,1466.911368377306,1580.14848252006
Ucayali,1462.8021028625585,1449.2148556340155,1492.2129826612365
